timestamp,query,sf,crr,ar,ga,L
2025-12-30 23:03:37,Chronic Kidney Disease,1.0,0.0,0.5,0.0,2
2025-12-30 23:04:14,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2025-12-30 23:11:07,combination immunotherapy melanoma toxicity adverse events,1.0,0.01,0.5,0.0,2
2025-12-30 23:12:41,AI clinical decision support safety risk regulatory guidance,1.0,0.0,0.5,0.0,2
2025-12-30 23:13:21,meta-analysis immunotherapy survival benefits conflicting evidence,1.0,0.02,0.5,0.0,2
2025-12-30 23:16:09,meta-analysis immunotherapy survival benefits conflicting evidence,1.0,0.0,0.5,0.0,2
2025-12-30 23:18:07,meta-analysis immunotherapy survival benefits conflicting evidence,1.0,0.02,0.5,0.0,2
2025-12-30 23:19:42,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2025-12-30 23:20:16,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2025-12-30 23:22:44,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2025-12-30 23:24:09,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.0,0.5,0.0,2
2025-12-30 23:31:09,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2025-12-30 23:32:39,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2025-12-30 23:33:08,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2025-12-30 23:35:28,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2025-12-30 23:36:06,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2025-12-30 23:36:48,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.0,0.5,0.0,2
2025-12-30 23:38:52,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.0,0.5,0.0,2
2025-12-30 23:40:14,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.0,0.5,0.0,2
2025-12-30 23:41:57,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2025-12-30 23:42:40,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2025-12-30 23:44:27,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2025-12-31 13:34:19,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.29,0.5,0.0,2
2025-12-31 21:52:24,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2025-12-31 22:24:14,combination immunotherapy melanoma toxicity adverse events,1.0,0.0,0.5,0.0,2
2025-12-31 23:25:27,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,1.0,2
2026-01-01 00:03:38,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,1.0,2
2026-01-01 12:52:00,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,1.0,2
2026-01-01 22:18:00,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2026-01-01 22:18:37,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,1.0,2
2026-01-01 22:19:04,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,1.0,2
2026-01-01 22:21:34,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,0.0,2
2026-01-01 22:24:37,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,1.0,2
2026-01-01 22:30:04,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,1.0,2
2026-01-01 22:31:16,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,1.0,2
2026-01-03 15:07:42,Treatment diabetes,1.0,0.0,0.5,1.0,2
2026-01-04 21:48:26,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,1.0,2
2026-01-04 21:52:01,combination immunotherapy melanoma toxicity adverse events,1.0,0.0,0.5,1.0,2
2026-01-04 21:54:00,AI clinical decision support safety risk regulatory guidance,1.0,1.0,0.5,1.0,2
2026-01-04 21:54:48,meta-analysis immunotherapy survival benefits conflicting evidence,1.0,0.02,0.5,1.0,2
2026-01-04 21:57:10,meta-analysis immunotherapy survival benefits conflicting evidence,1.0,0.02,0.5,1.0,2
2026-01-04 21:58:39,PD-1 inhibitor melanoma comorbidities severe adverse effects,1.0,0.14,0.5,1.0,2
